disease,symptoms,precautions,specialist,urgency
ACL Tear,"sudden knee popping, swelling, instability, pain, difficulty walking","RICE (rest, ice, compression, elevation), physical therapy, surgery for active individuals",Orthopedist,High
ADHD,"inattention, hyperactivity, impulsivity, disorganization, poor time management","Behavioral therapy, stimulants/non-stimulants, organizational skills, parent training",Psychiatrist,Medium
ALS,"muscle weakness (limbs/bulbar), twitching, cramping, dysarthria, dysphagia, respiratory failure","Riluzole, edaravone, noninvasive ventilation, multidisciplinary care, feeding tube",Neurologist,High
Abdominal Aortic Aneurysm,"pulsating sensation in abdomen, back pain, deep constant abdominal pain, hypotension, sudden severe abdominal pain if ruptured","Control blood pressure, avoid heavy lifting, imaging surveillance, smoking cessation",Vascular Surgeon,High
Abscess,"painful lump, redness, pus drainage, fever, swelling","Incision and drainage, antibiotics, warm compresses, proper wound care",General Surgeon,Medium
Achalasia,"difficulty swallowing, regurgitation of undigested food, chest pain, heartburn, nighttime coughing","Endoscopic dilation, botox injection, surgery (myotomy), eat slowly, avoid eating before bed",Gastroenterologist,Medium
Acne Vulgaris,"comedones, pustules, cysts, redness, scars","Benzoyl peroxide, retinoids, avoid picking, gentle cleansing",Dermatologist,Low
Acoustic Neuroma,"unilateral hearing loss, tinnitus, dizziness, facial numbness, balance problems","MRI surveillance, stereotactic radiosurgery, surgical resection, hearing preservation",Neurosurgeon,Medium
Acromegaly,"enlarged hands/feet, coarse facial features, joint pain, thick skin, sleep apnea","Transsphenoidal surgery, somatostatin analogs, growth hormone antagonist, manage comorbidities",Endocrinologist,High
Actinic Keratosis,"rough scaly patches, redness, dry skin, tenderness, bleeding when picked","Topical fluorouracil, cryotherapy, photodynamic therapy, sun protection",Dermatologist,Low
Acute Kidney Injury,"decreased urine output, fluid retention, fatigue, confusion, chest pain","Treat underlying cause, IV fluids, avoid nephrotoxins, monitor electrolytes",Nephrologist,High
Acute Lymphoblastic Leukemia,"fever, bone pain, pallor, bruising, lymphadenopathy","Chemotherapy (induction, consolidation), intrathecal chemo, supportive care, stem cell transplant",Oncologist,High
Acute Myeloid Leukemia,"fatigue, pallor, bleeding, recurrent infections, gum hypertrophy","Chemotherapy (cytarabine, anthracycline), supportive care, stem cell transplant, clinical trials",Oncologist,High
Addison's Disease,"fatigue, hyperpigmentation, low BP, salt craving, nausea","Lifelong steroids, stress dosing, hydration, monitor electrolytes",Endocrinologist,High
Adenovirus Infection,"fever, pharyngitis, conjunctivitis, diarrhea, pneumonia (serotypes)","Supportive care, no specific antiviral, cidofovir for severe immunocompromised, hand hygiene",General Practitioner,Low
African Sleeping Sickness,"fever, headache, joint pain (stage 1), then sleep disturbance, neurological symptoms (stage 2)","Pentamidine (stage 1), melarsoprol or eflornithine (stage 2), avoid tsetse flies",Infectious Disease Specialist,High
Alcohol Poisoning,"confusion, vomiting, slow breathing, blue skin, low body temperature, loss of consciousness","Airway support, IV fluids, thiamine, monitor glucose, treat hypoglycemia",Emergency Physician,High
Alcoholic Hepatitis,"jaundice, abdominal pain, nausea, tender hepatomegaly, fever","Alcohol cessation, nutritional support, corticosteroids for severe cases, monitor liver function",Hepatologist,High
Allergic Rhinitis,"sneezing, runny nose, nasal congestion, itchy eyes, postnasal drip","Antihistamines, nasal steroids, allergen avoidance, immunotherapy",Allergist,Low
Alopecia Areata,"circular hair loss patches, exclamation mark hairs, nail pitting, complete scalp hair loss (alopecia totalis)","Topical/intralesional corticosteroids, minoxidil, contact immunotherapy, wigs",Dermatologist,Medium
Altitude Sickness,"headache, nausea, fatigue, dizziness, insomnia","Descent to lower altitude, supplemental oxygen, acetazolamide, hydration, avoid alcohol",General Practitioner,Medium
Alzheimer's Disease,"memory loss, confusion, personality changes, difficulty speaking, disorientation","Cognitive stimulation, safety measures, caregiver support, routine",Neurologist,Medium
Amebiasis,"bloody diarrhea (flask-shaped ulcers), abdominal pain, fever, liver abscess possible","Metronidazole or tinidazole, then luminal agent (paromomycin), sanitation, safe water",Gastroenterologist,Medium
Amyloidosis,"fatigue, weight loss, swollen ankles, shortness of breath, enlarged tongue","Treat underlying condition, chemotherapy, stem cell transplant, supportive care",Hematologist,High
Anaphylaxis,"hives, swelling, difficulty breathing, wheezing, hypotension, GI symptoms","Epinephrine auto-injector, call emergency, lay flat, antihistamines secondary",Emergency Physician,High
Anaplasmosis,"fever, headache, muscle aches, chills, nausea","Doxycycline, tick avoidance, prompt removal of ticks, protective clothing",Infectious Disease Specialist,Medium
Anemia (Iron Deficiency),"fatigue, pallor, cold hands/feet, brittle nails, pica","Oral iron supplements, dietary iron, treat underlying bleeding, vitamin C",Hematologist,Medium
Aneurysmal Bone Cyst,"localized bone pain, swelling, pathological fracture, palpable mass, tenderness","Curettage, bone grafting, sclerotherapy, observation if asymptomatic",Orthopedist,Medium
Angioedema,"sudden swelling of deep skin layers (face, lips, throat), pain, redness, difficulty breathing if laryngeal","Identify trigger (drugs, foods, C1 inhibitor deficiency), antihistamines, epinephrine, avoid triggers",Allergist,High
Ankylosing Spondylitis,"chronic back pain (worse at night), morning stiffness, reduced spinal mobility, kyphosis, uveitis","NSAIDs, physical therapy, TNF inhibitors, posture exercises, smoking cessation",Rheumatologist,Medium
Anorexia Nervosa,"low body weight, intense fear of weight gain, distorted body image, amenorrhea, restrictive eating","Refeeding, weight restoration, family-based therapy, CBT, medical monitoring",Psychiatrist,High
Anthrax,"skin ulcer with black eschar (cutaneous), respiratory symptoms, fever (inhalational), GI symptoms","Ciprofloxacin or doxycycline, anthrax vaccine, antitoxin, quarantine",Infectious Disease Specialist,High
Antiphospholipid Syndrome,"arterial/venous thrombosis, pregnancy loss, livedo reticularis, thrombocytopenia, stroke","Anticoagulation (warfarin), aspirin, avoid estrogen, monitor aPL antibodies",Hematologist,High
Anxiety Disorder (Generalized),"excessive worry, restlessness, muscle tension, sleep disturbance, irritability","CBT, SSRIs/SNRIs, relaxation techniques, avoid caffeine, regular exercise",Psychiatrist,Medium
Aortic Dissection,"sudden severe tearing chest or back pain, syncope, pulse deficit, shortness of breath, hypertension","Emergency surgery (type A), BP control (type B), beta-blockers, imaging surveillance",Cardiologist,High
