disease,symptoms,precautions,specialist,urgency
Influenza,"fever, cough, sore throat, fatigue, body aches","Rest, hydration, antivirals if severe, avoid contact",General Practitioner,Medium
COVID-19,"fever, dry cough, loss of taste/smell, shortness of breath, fatigue","Isolate, test, monitor oxygen, seek emergency if breathing worsens",Pulmonologist,High
Common Cold,"runny nose, sneezing, mild sore throat, congestion, low-grade fever","Rest, hydration, saline spray, hand hygiene",General Practitioner,Low
Pneumonia,"productive cough, fever, chills, shortness of breath, chest pain","Antibiotics, rest, hydration, hospitalization if severe",Pulmonologist,High
Bronchitis,"persistent cough, mucus production, fatigue, mild fever, chest discomfort","Rest, steam inhalation, avoid smoking, hydration",General Practitioner,Medium
Asthma,"wheezing, shortness of breath, chest tightness, coughing, rapid breathing","Use rescue inhaler, avoid triggers, monitor peak flow",Pulmonologist,High
COPD,"chronic cough, sputum production, shortness of breath, wheezing, fatigue","Smoking cessation, pulmonary rehab, oxygen if needed, avoid pollutants",Pulmonologist,High
Tuberculosis,"chronic cough, night sweats, weight loss, fever, hemoptysis","Isolate until non-infectious, complete antibiotics, cough hygiene",Infectious Disease Specialist,High
Lung Cancer,"persistent cough, chest pain, weight loss, hemoptysis, shortness of breath","Smoking cessation, imaging, consult oncology, avoid carcinogens",Oncologist,High
Pulmonary Embolism,"sudden shortness of breath, chest pain, rapid pulse, cough with blood, leg swelling","Emergency care, anticoagulation, compression stockings, mobility",Emergency Physician,High
Hypertension,"often asymptomatic, headache, dizziness, vision changes, nosebleeds","Reduce salt, exercise, monitor BP, limit alcohol",Cardiologist,Medium
Coronary Artery Disease,"chest pain (angina), shortness of breath, fatigue, palpitations, jaw pain","Healthy diet, exercise, statins, avoid smoking",Cardiologist,High
Heart Attack,"chest pressure, arm/jaw pain, shortness of breath, nausea, cold sweat","Call emergency, aspirin, CPR if needed, rest",Cardiologist,High
Heart Failure,"shortness of breath, leg swelling, fatigue, rapid weight gain, persistent cough","Low-sodium diet, monitor weight, diuretics, limit fluids",Cardiologist,High
Arrhythmia,"palpitations, dizziness, chest fluttering, fainting, shortness of breath","Avoid stimulants, medications, ablation if needed, monitor pulse",Cardiologist,Medium
Stroke,"sudden numbness, confusion, trouble speaking, severe headache, loss of balance","Call emergency immediately, note time of onset, do not give aspirin",Neurologist,High
Transient Ischemic Attack,"temporary weakness, slurred speech, vision loss, dizziness, numbness","Emergency evaluation, antiplatelet therapy, manage BP, control cholesterol",Neurologist,High
Migraine,"throbbing headache, nausea, light sensitivity, aura, vomiting","Dark quiet room, hydration, triptans, avoid triggers",Neurologist,Medium
Tension Headache,"dull pressure headache, neck tightness, scalp tenderness, mild fatigue","Stress management, OTC pain relievers, posture correction, hydration",General Practitioner,Low
Cluster Headache,"severe unilateral eye pain, tearing, nasal congestion, restlessness","Oxygen therapy, triptans, avoid alcohol, preventive medications",Neurologist,High
Epilepsy,"recurrent seizures, confusion, staring spells, muscle jerks, loss of consciousness","Antiseizure meds, avoid triggers, safety precautions, medical ID",Neurologist,Medium
Multiple Sclerosis,"numbness, vision problems, fatigue, muscle weakness, balance issues","Disease-modifying therapy, physical therapy, avoid overheating, vitamin D",Neurologist,Medium
Parkinson's Disease,"tremor, bradykinesia, rigidity, balance problems, masked face","Medications (levodopa), physical therapy, fall prevention, speech therapy",Neurologist,Medium
Alzheimer's Disease,"memory loss, confusion, personality changes, difficulty speaking, disorientation","Cognitive stimulation, safety measures, caregiver support, routine",Neurologist,Medium
